[23.09.11 20:54:15 INFO]: =====START OF HISTORY=====
[23.09.11 20:49:17 FINE]: [BetonQuest] Loaded pl language
[23.09.11 20:49:17 FINE]: [BetonQuest] Loaded en language
[23.09.11 20:49:17 FINE]: [BetonQuest] Loaded de language
[23.09.11 20:49:17 FINE]: [BetonQuest] Loaded fr language
[23.09.11 20:49:17 FINE]: [BetonQuest] Loaded cn language
[23.09.11 20:49:17 FINE]: [BetonQuest] Loaded es language
[23.09.11 20:49:17 FINE]: [BetonQuest] Loaded nl language
[23.09.11 20:49:17 FINE]: [BetonQuest] Loaded it language
[23.09.11 20:49:17 FINE]: [BetonQuest] Loaded hu language
[23.09.11 20:49:17 FINE]: [BetonQuest] Loaded vi language
[23.09.11 20:49:17 INFO]: [BetonQuest] Using SQLite for storing data!
[23.09.11 20:49:17 FINE]: [BetonQuest] Initializing updater with version v64, destination is v64
[23.09.11 20:49:17 INFO]: [BetonQuest] Configuration up to date!
[23.09.11 20:49:17 FINE]: [BetonQuest] Initializing static events
[23.09.11 20:49:17 FINE]: [BetonQuest] Searching package lesson
[23.09.11 20:49:17 FINE]: [BetonQuest] There are no static events defined, skipping
[23.09.11 20:49:17 FINE]: [BetonQuest] Searching package gui
[23.09.11 20:49:17 FINE]: [BetonQuest] There are no static events defined, skipping
[23.09.11 20:49:17 FINE]: [BetonQuest] Static events initialization done
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering health condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering permission condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering experience condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering tag condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering globaltag condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering point condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering globalpoint condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering and condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering or condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering time condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering weather condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering height condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering item condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering hand condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering location condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering armor condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering effect condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering rating condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering sneak condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering random condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering journal condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering testforblock condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering empty condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering party condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering entities condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering objective condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering check condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering chestitem condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering score condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering riding condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering world condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering gamemode condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering advancement condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering variable condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering biome condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering dayofweek condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering partialdate condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering realtime condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering looking condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering facing condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering conversation condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering mooncycle condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering fly condition type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering message event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering objective event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering command event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering tag event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering globaltag event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering journal event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering teleport event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering explosion event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering lightning event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering point event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering globalpoint event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering give event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering take event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering conversation event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering kill event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering effect event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering deleffect event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering deletepoint event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering spawn event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering killmob event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering time event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering weather event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering folder event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering setblock event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering damage event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering party event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering clear event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering run event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering givejournal event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering sudo event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering opsudo event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering chestgive event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering chesttake event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering chestclear event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering compass event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering cancel event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering score event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering lever event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering door event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering if event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering variable event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering title event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering language event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering playsound event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering pickrandom event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering experience event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering notify event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering notifyall event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering chat event type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering location objective type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering block objective type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering mobkill objective type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering action objective type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering die objective type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering craft objective type
[23.09.11 20:49:17 FINE]: [BetonQuest] Registering smelt objective type
